mode,frame,raw_detections,kept_detections,latency_ms
OpenMP,186,84,30,277.5526
OpenMP,187,84,30,201.4575
OpenMP,188,84,30,194.7450
OpenMP,189,84,30,180.3051
OpenMP,190,84,30,202.2813
OpenMP,191,84,30,179.5108
OpenMP,192,84,30,187.9257
OpenMP,193,84,30,190.8100
OpenMP,194,84,30,178.9876
OpenMP,195,84,30,187.1431
OpenMP,196,84,30,187.5339
OpenMP,197,84,30,187.5494
OpenMP,198,84,30,175.0346
OpenMP,199,84,30,178.8545
OpenMP,200,84,30,188.4299
OpenMP,201,84,30,182.9137
OpenMP,202,84,30,186.9786
OpenMP,203,84,30,183.3867
OpenMP,204,84,30,196.6275
OpenMP,205,84,30,250.5006
OpenMP,206,84,30,293.3149
OpenMP,207,84,30,216.9501
OpenMP,208,84,30,180.5762
OpenMP,209,84,30,182.4232
OpenMP,210,84,30,191.4626
OpenMP,211,84,30,204.0970
OpenMP,212,84,30,183.4733
OpenMP,213,84,30,172.2690
OpenMP,214,84,30,178.7473
OpenMP,215,84,30,167.2693
OpenMP,216,84,30,179.7078
OpenMP,217,84,30,167.4075
OpenMP,218,84,30,175.4178
OpenMP,219,84,30,183.2857
OpenMP,220,84,30,184.6027
OpenMP,221,84,30,178.8384
OpenMP,222,84,30,188.5770
OpenMP,223,84,30,174.8803
OpenMP,224,84,30,170.3324
OpenMP,225,84,30,171.0995
OpenMP,226,84,30,169.6503
OpenMP,227,84,30,173.1359
OpenMP,228,84,30,179.6697
OpenMP,229,84,30,175.2770
OpenMP,230,84,30,179.6512
OpenMP,231,84,30,185.0388
OpenMP,232,84,30,234.3592
OpenMP,233,84,30,246.5971
OpenMP,234,84,30,229.9347
OpenMP,235,84,30,247.1591
OpenMP,236,84,30,244.2526
OpenMP,237,84,30,222.5609
OpenMP,238,84,30,243.5645
OpenMP,239,84,30,249.1745
OpenMP,240,84,30,216.2363
OpenMP,241,84,30,210.5473
OpenMP,242,84,30,213.7404
OpenMP,243,84,30,229.2445
OpenMP,244,84,30,209.5408
OpenMP,245,84,30,202.5898
OpenMP,246,84,30,211.7945
OpenMP,247,84,30,242.9017
OpenMP,248,84,30,251.3270
OpenMP,249,84,30,215.5423
OpenMP,250,84,30,199.9196
OpenMP,251,84,30,174.9105
OpenMP,252,84,30,170.7111
OpenMP,253,84,30,191.2879
OpenMP,254,84,30,181.0447
OpenMP,255,84,30,193.6502
OpenMP,256,84,30,192.2580
OpenMP,257,84,30,191.1479
OpenMP,258,84,30,195.5027
OpenMP,259,84,30,183.0087
OpenMP,260,84,30,180.3778
OpenMP,261,84,30,170.3980
OpenMP,262,84,30,170.0510
OpenMP,263,84,30,197.1632
OpenMP,264,84,30,237.8082
OpenMP,265,84,30,186.9991
OpenMP,266,84,30,167.3915
OpenMP,267,84,30,179.6511
OpenMP,268,84,30,184.2146
OpenMP,269,84,30,3152.6040
OpenMP,270,84,30,176.5645
OpenMP,271,84,30,186.8130
OpenMP,272,84,30,171.7921
OpenMP,273,84,30,179.3131
OpenMP,274,84,30,176.2303
OpenMP,275,84,30,172.3473
OpenMP,276,84,30,185.0934
OpenMP,277,84,30,180.9426
OpenMP,278,84,30,186.4165
OpenMP,279,84,30,180.0608
OpenMP,280,84,30,186.3817
OpenMP,281,84,30,175.2778
OpenMP,282,84,30,166.7013
OpenMP,283,84,30,184.1613
OpenMP,284,84,30,188.7437
OpenMP,285,84,30,181.4618
OpenMP,286,84,30,191.4566
OpenMP,287,84,30,183.8001
OpenMP,288,84,30,174.3864
OpenMP,289,84,30,179.5335
OpenMP,290,84,30,183.8876
OpenMP,291,84,30,189.8306
OpenMP,292,84,30,179.8191
OpenMP,293,84,30,232.4707
OpenMP,294,84,30,242.3682
OpenMP,295,84,30,187.8472
OpenMP,296,84,30,192.7338
OpenMP,297,84,30,187.4524
OpenMP,298,84,30,183.4884
OpenMP,299,84,30,170.3684

summary_metric,value
mode,OpenMP
frames,300
avg_latency_ms,204.4762
p50_latency_ms,179.5335
p99_latency_ms,325.1157
fps,4.8905
