mode,frame,raw_detections,kept_detections,latency_ms
OpenMP,186,84,30,159.9059
OpenMP,187,84,30,147.9599
OpenMP,188,84,30,160.2477
OpenMP,189,84,30,140.3757
OpenMP,190,84,30,134.4426
OpenMP,191,84,30,136.5210
OpenMP,192,84,30,135.8701
OpenMP,193,84,30,143.2685
OpenMP,194,84,30,151.9826
OpenMP,195,84,30,140.2178
OpenMP,196,84,30,134.7885
OpenMP,197,84,30,138.1525
OpenMP,198,84,30,136.5192
OpenMP,199,84,30,136.0533
OpenMP,200,84,30,135.4147
OpenMP,201,84,30,135.7419
OpenMP,202,84,30,135.9891
OpenMP,203,84,30,138.2808
OpenMP,204,84,30,136.9190
OpenMP,205,84,30,143.0123
OpenMP,206,84,30,140.7164
OpenMP,207,84,30,138.4151
OpenMP,208,84,30,130.5012
OpenMP,209,84,30,139.1424
OpenMP,210,84,30,137.6018
OpenMP,211,84,30,137.1681
OpenMP,212,84,30,135.1451
OpenMP,213,84,30,131.5821
OpenMP,214,84,30,134.1846
OpenMP,215,84,30,134.2082
OpenMP,216,84,30,137.8316
OpenMP,217,84,30,137.8004
OpenMP,218,84,30,142.2967
OpenMP,219,84,30,138.5226
OpenMP,220,84,30,133.7584
OpenMP,221,84,30,136.2057
OpenMP,222,84,30,137.9800
OpenMP,223,84,30,136.6353
OpenMP,224,84,30,137.1223
OpenMP,225,84,30,135.0590
OpenMP,226,84,30,131.5266
OpenMP,227,84,30,140.9631
OpenMP,228,84,30,141.8678
OpenMP,229,84,30,154.2204
OpenMP,230,84,30,142.6196
OpenMP,231,84,30,137.1538
OpenMP,232,84,30,139.0749
OpenMP,233,84,30,137.4934
OpenMP,234,84,30,134.7511
OpenMP,235,84,30,130.1322
OpenMP,236,84,30,136.5435
OpenMP,237,84,30,132.6133
OpenMP,238,84,30,133.0576
OpenMP,239,84,30,135.7068
OpenMP,240,84,30,139.3403
OpenMP,241,84,30,141.9489
OpenMP,242,84,30,136.7940
OpenMP,243,84,30,136.5031
OpenMP,244,84,30,136.4247
OpenMP,245,84,30,136.6503
OpenMP,246,84,30,132.2929
OpenMP,247,84,30,146.2689
OpenMP,248,84,30,139.3620
OpenMP,249,84,30,137.5027
OpenMP,250,84,30,135.3814
OpenMP,251,84,30,144.4320
OpenMP,252,84,30,141.3963
OpenMP,253,84,30,138.2401
OpenMP,254,84,30,136.9444
OpenMP,255,84,30,134.5923
OpenMP,256,84,30,142.7159
OpenMP,257,84,30,135.3125
OpenMP,258,84,30,140.2330
OpenMP,259,84,30,136.5095
OpenMP,260,84,30,136.0229
OpenMP,261,84,30,140.7702
OpenMP,262,84,30,136.1509
OpenMP,263,84,30,137.7004
OpenMP,264,84,30,137.4043
OpenMP,265,84,30,138.3560
OpenMP,266,84,30,138.2910
OpenMP,267,84,30,132.6249
OpenMP,268,84,30,142.9060
OpenMP,269,84,30,140.7318
OpenMP,270,84,30,135.6620
OpenMP,271,84,30,136.8264
OpenMP,272,84,30,136.2500
OpenMP,273,84,30,140.4548
OpenMP,274,84,30,137.3074
OpenMP,275,84,30,134.5100
OpenMP,276,84,30,136.9274
OpenMP,277,84,30,138.4080
OpenMP,278,84,30,133.8735
OpenMP,279,84,30,131.5714
OpenMP,280,84,30,135.2950
OpenMP,281,84,30,140.9204
OpenMP,282,84,30,139.5578
OpenMP,283,84,30,134.4488
OpenMP,284,84,30,143.3200
OpenMP,285,84,30,140.5276
OpenMP,286,84,30,141.7889
OpenMP,287,84,30,136.8719
OpenMP,288,84,30,140.0003
OpenMP,289,84,30,142.5620
OpenMP,290,84,30,136.2232
OpenMP,291,84,30,139.7578
OpenMP,292,84,30,141.7598
OpenMP,293,84,30,148.0274
OpenMP,294,84,30,134.9577
OpenMP,295,84,30,134.8724
OpenMP,296,84,30,138.0005
OpenMP,297,84,30,136.9697
OpenMP,298,84,30,137.0207
OpenMP,299,84,30,137.4718

summary_metric,value
mode,OpenMP
frames,300
avg_latency_ms,138.9397
p50_latency_ms,137.5737
p99_latency_ms,179.7477
fps,7.1974
