mode,frame,raw_detections,kept_detections,latency_ms
sequential,198,84,30,1092.4093
sequential,199,84,30,1073.2777
sequential,200,84,30,1088.5974
sequential,201,84,30,1073.6941
sequential,202,84,30,1052.0984
sequential,203,84,30,1117.6830
sequential,204,84,30,1079.9855
sequential,205,84,30,1123.6603
sequential,206,84,30,1221.9843
sequential,207,84,30,1142.3534
sequential,208,84,30,1124.4273
sequential,209,84,30,1103.7452
sequential,210,84,30,1079.8855
sequential,211,84,30,1144.1815
sequential,212,84,30,1091.4621
sequential,213,84,30,1066.1456
sequential,214,84,30,1108.4210
sequential,215,84,30,1076.0566
sequential,216,84,30,1050.4303
sequential,217,84,30,1062.3975
sequential,218,84,30,1076.7268
sequential,219,84,30,1084.6654
sequential,220,84,30,1073.2716
sequential,221,84,30,1048.2794
sequential,222,84,30,1062.3486
sequential,223,84,30,4015.1835
sequential,224,84,30,1063.8154
sequential,225,84,30,1049.5601
sequential,226,84,30,1044.3644
sequential,227,84,30,1053.6910
sequential,228,84,30,1067.8904
sequential,229,84,30,1054.1225
sequential,230,84,30,1050.9152
sequential,231,84,30,1088.3254
sequential,232,84,30,1053.4099
sequential,233,84,30,1059.5718
sequential,234,84,30,1066.8325
sequential,235,84,30,1082.6717
sequential,236,84,30,1069.7007
sequential,237,84,30,1072.2545
sequential,238,84,30,1060.7827
sequential,239,84,30,1057.9966
sequential,240,84,30,1060.2331
sequential,241,84,30,1053.1022
sequential,242,84,30,1055.6051
sequential,243,84,30,1049.6366
sequential,244,84,30,1065.0960
sequential,245,84,30,1052.6094
sequential,246,84,30,1059.8323
sequential,247,84,30,1066.2780
sequential,248,84,30,1069.0664
sequential,249,84,30,1044.9723
sequential,250,84,30,1082.8189
sequential,251,84,30,1059.0121
sequential,252,84,30,1052.8951
sequential,253,84,30,1059.7603
sequential,254,84,30,3990.6110
sequential,255,84,30,1051.2593
sequential,256,84,30,1056.5380
sequential,257,84,30,1077.6020
sequential,258,84,30,1087.6265
sequential,259,84,30,1064.9341
sequential,260,84,30,1088.5572
sequential,261,84,30,1098.2590
sequential,262,84,30,1088.4575
sequential,263,84,30,1067.2146
sequential,264,84,30,1068.4879
sequential,265,84,30,1098.8821
sequential,266,84,30,1063.9209
sequential,267,84,30,1060.9886
sequential,268,84,30,1098.5299
sequential,269,84,30,1068.9460
sequential,270,84,30,1072.4026
sequential,271,84,30,1053.6271
sequential,272,84,30,1067.5332
sequential,273,84,30,1051.5211
sequential,274,84,30,1062.2945
sequential,275,84,30,1156.2437
sequential,276,84,30,1104.0591
sequential,277,84,30,1102.9525
sequential,278,84,30,1084.0996
sequential,279,84,30,1072.0924
sequential,280,84,30,1056.3698
sequential,281,84,30,1057.7655
sequential,282,84,30,1057.0086
sequential,283,84,30,1064.8364
sequential,284,84,30,3998.3163
sequential,285,84,30,1095.6118
sequential,286,84,30,1056.2514
sequential,287,84,30,1071.7906
sequential,288,84,30,1080.8957
sequential,289,84,30,1087.9583
sequential,290,84,30,1065.4613
sequential,291,84,30,1098.1332
sequential,292,84,30,1055.0292
sequential,293,84,30,1056.3546
sequential,294,84,30,1070.4727
sequential,295,84,30,1054.8730
sequential,296,84,30,1097.2001
sequential,297,84,30,1098.2427
sequential,298,84,30,1129.7881
sequential,299,84,30,1064.6878

summary_metric,value
mode,sequential
frames,300
avg_latency_ms,1270.5096
p50_latency_ms,1072.4026
p99_latency_ms,4245.4455
fps,0.7871
